filename,garment_type,pattern,sleeve,silhouette,season
whiteshirt.jpg,top,solid,short,loose,summer
blackdress.jpg,dress,solid,sleeveless,fitted,summer
polkadotdress.jpg,dress,polka_dot,short,flared,summer
polkadottop.jpeg,top,polka_dot,short,fitted,summer
stripeshirt.jpg,top,striped,long,loose,transitional
stripeshirt2.jpg,top,striped,short,loose,summer
plainsweater.jpg,top,solid,long,loose,winter
stripesweater.jpeg,top,striped,long,fitted,winter
floraltop.jpg,top,floral,long,flared,transitional
solidshirt.jpeg,top,solid,long,loose,winter
floraltop2.jpeg,top,floral,sleeveless,fitted,summer
floraldress.jpeg,dress,floral,sleeveless,flared,summer
polkadottop2.jpeg,top,polka_dot,long,loose,transitional
polkadotdress2.jpeg,dress,polka_dot,short,fitted,summer
polkadotdress3.jpeg,dress,polka_dot,sleeveless,fitted,summer
polkadotdress4.jpeg,dress,polka_dot,sleeveless,flared,summer
polkadotshirt.jpg,top,polka_dot,long,loose,transitional
polkadotshirt2.jpg,top,polka_dot,short,loose,summer
polkadottop3.jpeg,top,polka_dot,sleeveless,fitted,summer
polkadottop4.jpeg,top,polka_dot,long,loose,transitional
polkadottop5.jpeg,top,polka_dot,sleeveless,fitted,summer
beigesweater.jpeg,top,solid,long,loose,winter
blackpuffer.jpeg,jacket,solid,long,loose,winter
blackshirt.jpg,top,solid,long,fitted,transitional
bluejacket.jpeg,jacket,solid,long,fitted,winter
bluepuffer.jpeg,jacket,solid,long,loose,winter
blueshirt.jpeg,top,solid,long,loose,transitional
furjacket.jpeg,jacket,solid,long,loose,winter
furjacket2.jpeg,jacket,solid,long,loose,winter
furjacket3.jpeg,jacket,solid,long,loose,winter
furjacket4.jpeg,jacket,solid,long,loose,winter
khakijacket.jpeg,jacket,solid,long,loose,winter
navyshirt.jpeg,top,solid,short,loose,transitional
navysweater.jpeg,top,solid,long,loose,transitional
yellowcardigan.jpg,jacket,solid,long,loose,winter
stripedshirt.jpeg,top,striped,long,loose,transitional
stripedshirt2.jpeg,top,striped,short,loose,summer
stripedshirt3.jpeg,top,striped,long,fitted,transitional
stripedtee.jpeg,top,striped,long,loose,transitional
stripedtee2.jpeg,top,striped,short,loose,summer
stripedtee3.jpeg,top,striped,short,loose,summer
stripedtop.jpeg,top,striped,sleeveless,fitted,summer
stripedtop2.jpeg,top,striped,sleeveless,fitted,summer
flaredtank.jpg,top,solid,sleeveless,flared,summer
flaredtank2.jpg,top,solid,sleeveless,flared,summer
floralflared.jpeg,top,floral,short,flared,summer
floralflared2.jpeg,top,floral,sleeveless,flared,summer
floralflared3.jpeg,top,floral,short,flared,summer
greenflared.jpeg,top,solid,long,flared,transitional
greyflared.jpeg,top,solid,sleeveless,flared,transitional
redflared.jpg,top,solid,short,flared,transitional
floralshirt.jpeg,top,floral,short,loose,summer
floralshirt2.jpeg,top,floral,short,fitted,summer
floraltop.jpeg,top,floral,long,fitted,transitional
flaredfloraltop.jpeg,top,floral,sleeveless,flared,summer
flaredfloraltop2.jpeg,top,floral,long,fitted,transitional
baggyPants1.jpeg,pants,solid,sleeveless,loose,transitional
baggyPants2.jpeg,pants,solid,sleeveless,loose,summer
baggyPants3.jpeg,pants,solid,sleeveless,loose,winter
baggyPants4.jpeg,pants,solid,sleeveless,loose,summer
baggyPants5.jpeg,pants,solid,sleeveless,loose,winter
cardigan1.jpeg,jacket,solid,long,fitted,transitional
cardigan2.jpeg,jacket,polka_dot,long,loose,transitional
fittedButtonUp.jpeg,top,solid,short,fitted,summer
fittedDress1.jpeg,dress,solid,short,fitted,summer
fittedDress2.jpeg,dress,solid,short,fitted,summer
fittedDress3.jpeg,dress,solid,short,fitted,summer
fittedLeggings.jpeg,pants,solid,sleeveless,fitted,transitional
fittedShirt.jpeg,top,solid,short,fitted,summer
floralLongSleeveFitted1.jpeg,top,floral,long,fitted,transitional
floralLongSleeveFitted2.jpeg,top,floral,long,fitted,winter
floralLongSleeveLoose.jpeg,top,floral,long,loose,summer
floralDressLoose1.jpeg,dress,floral,short,loose,summer
floralDressLoose2.jpeg,dress,floral,short,loose,summer
polkadot1.jpeg,top,polka_dot,long,fitted,winter
polkadot2.jpeg,top,polka_dot,sleeveless,fitted,summer
polkadot3.jpeg,top,polka_dot,sleeveless,fitted,summer
polkadot4.jpeg,top,polka_dot,sleeveless,loose,summer
shortSleeve1.jpeg,top,polka_dot,short,loose,summer
shortSleeve2.jpeg,top,polka_dot,short,loose,summer
sleeveless1.jpeg,top,floral,sleeveless,fitted,summer
sleeveless2.jpeg,top,solid,sleeveless,fitted,summer
sleeveless3.jpeg,top,striped,sleeveless,fitted,summer
winterCoat.jpeg,jacket,solid,long,loose,winter
winterSweater1.jpeg,top,solid,long,loose,winter
winterSweater2.jpeg,top,solid,long,loose,winter
baggyjeans.jpeg,pants,solid,sleeveless,loose,transitional
baggyjeans2.jpeg,pants,solid,sleeveless,loose,transitional
baggyjeans3.jpg,pants,solid,sleeveless,loose,transitional
baggyjeans4.jpg,pants,solid,sleeveless,loose,transitional
baggysweats.jpeg,pants,solid,sleeveless,loose,transitional
baggysweats2.jpeg,pants,solid,sleeveless,loose,transitional
baggysweats3.jpeg,pants,solid,sleeveless,loose,transitional
baggysweats4.jpeg,pants,solid,sleeveless,loose,transitional
baggysweats5.jpeg,pants,solid,sleeveless,loose,transitional
baggysweatshirt.jpeg,top,solid,long,loose,winter
baggytop.jpeg,top,solid,short,loose,summer
baggytop2.jpeg,top,solid,short,loose,summer
baggytop3.jpeg,top,solid,short,loose,summer
dressfitted2.jpeg,dress,solid,short,fitted,transitional
fitteddress.jpeg,dress,solid,sleeveless,fitted,summer
fitteddress4.jpeg,dress,solid,sleeveless,fitted,summer
flaredjeans.jpeg,pants,solid,sleeveless,flared,transitional
flaredjeans2.jpeg,pants,solid,sleeveless,flared,transitional
flaredpants.jpeg,pants,solid,sleeveless,flared,transitional
flaredpants2.jpeg,pants,solid,sleeveless,flared,transitional
flaredpants3.jpeg,pants,solid,sleeveless,flared,transitional
flaredprintedjeans.jpeg,pants,solid,sleeveless,flared,transitional
flaredprintedpant.jpg,pants,striped,sleeveless,flared,transitional
flaredprintedpant2.jpg,pants,striped,sleeveless,flared,transitional
flaredstripedpant.jpeg,pants,striped,sleeveless,flared,transitional
flaredstripedpant2.jpeg,pants,striped,sleeveless,flared,transitional
floral.jpeg,top,polka_dot,long,loose,transitional
floral2.jpeg,top,polka_dot,long,loose,transitional
floralshirtflared.jpg,top,floral,long,flared,transitional
longsleeveshirt.jpeg,top,solid,long,loose,transitional
longsleeveshirt2.jpg,top,solid,long,loose,transitional
longsleeveshirt3.jpeg,top,solid,long,loose,transitional
loosedress.jpeg,dress,solid,short,loose,summer
loosedress2.jpg,dress,solid,short,loose,summer
loosedress3.jpg,dress,solid,sleeveless,loose,summer
loosestripedpant2.jpg,pants,striped,sleeveless,loose,transitional
loosetop.jpg,top,solid,short,loose,summer
stripedbaggypant.jpg,pants,striped,sleeveless,loose,transitional
sweatervest.jpg,top,solid,sleeveless,loose,transitional
sweatervest2.jpeg,top,solid,sleeveless,loose,transitional
sweatervest3.jpeg,jacket,solid,sleeveless,loose,transitional
sweatervest4.jpeg,jacket,solid,sleeveless,loose,transitional
coat5.jpg,jacket,solid,long,loose,winter
coat6.jpeg,jacket,solid,long,loose,winter
sweater.jpg,top,solid,long,loose,winter
coat.jpeg,jacket,solid,long,loose,winter
coat2.jpeg,jacket,solid,long,loose,winter
coat3.jpeg,jacket,solid,long,loose,winter
coat4.jpeg,jacket,solid,long,loose,winter
coat7.jpeg,jacket,solid,long,loose,winter
coat8.jpeg,jacket,solid,long,loose,winter
coat9.jpeg,jacket,solid,long,loose,winter
coat10.jpeg,jacket,solid,long,loose,winter
coat11.jpeg,jacket,solid,long,loose,winter
sweater2.jpeg,top,solid,long,loose,winter
sweater3.jpeg,top,solid,long,loose,winter
sweater4.jpg,jacket,solid,long,loose,winter
sweater5.jpeg,jacket,solid,long,loose,winter
sweater6.jpeg,jacket,solid,long,loose,winter
sweater7.jpeg,jacket,solid,long,loose,winter
sweater8.jpeg,top,solid,long,loose,winter
sweater9.jpeg,top,solid,long,loose,winter
sweater10.jpeg,top,solid,long,loose,winter
flaretop.jpeg,top,solid,long,flared,transitional
flaretop2.jpeg,top,polka_dot,sleeveless,flared,summer
flaretop3.jpg,top,solid,short,flared,transitional
flaretop4.jpeg,top,solid,sleeveless,flared,summer
flaretop5.jpeg,top,solid,sleeveless,flared,summer
flaretop6.jpeg,top,solid,sleeveless,flared,summer
flaretop7.jpeg,top,solid,sleeveless,flared,summer
flaretop8.jpeg,top,solid,short,flared,summer
flaretop9.jpeg,top,solid,short,flared,transitional
jacket.jpeg,jacket,solid,long,loose,winter
jacket2.jpeg,jacket,solid,long,loose,winter
jacket3.jpeg,jacket,solid,long,loose,winter
jacket4.jpeg,jacket,solid,long,loose,winter
jacket5.jpeg,jacket,solid,long,loose,winter
jacket6.jpeg,jacket,solid,long,loose,winter
jacket7.jpeg,jacket,solid,long,loose,winter
jacket8.jpeg,jacket,solid,long,loose,winter
jacket9.jpeg,jacket,solid ,long,loose,winter
jacket10.jpeg,jacket,solid,long,loose,winter
jacket11.jpeg,jacket,solid,long,loose,winter
jacket12.jpeg,jacket,solid,long,loose,winter
jacket13.jpeg,jacket,solid,long,loose,winter
jacket14.jpeg,jacket,solid,long,loose,winter
polkasweater.jpeg,top,polka_dot,long,loose,winter
polkasweater2.jpeg,top,polka_dot,long,loose,winter
polkasweater3.jpeg,top,polka_dot,long,loose,winter
polkasweater4.jpeg,top,polka_dot,long,loose ,winter
polkasweater5.jpeg,top,polka_dot,long,loose,winter
stripedcardigan.jpeg,jacket,striped,long,loose,winter
stripedcardigan2.jpeg,jacket,striped,long,loose,winter
stripedcardigan3.jpeg,jacket,striped,long,loose,winter
stripedcardigan4.jpeg,jacket,striped,long,loose,winter
stripedcardigan5.jpeg,jacket,striped,long,loose ,winter
stripedcardigan6.jpeg,jacket,striped,long,loose,winter
stripedcardigan7.jpeg,jacket,striped,long,loose,winter
stripedcardigan8.jpg,jacket,striped,long,loose,winter
stripedcardigan9.jpeg,jacket,striped,long,loose,winter
stripedcardigan10.jpeg,jacket,striped,short,loose,transitional
stripedcardigan11.jpeg,jacket,striped,short,loose,transitional
stripedsweater.jpeg,top,striped,long,loose,winter
stripedsweater2.jpeg,top,striped,long,loose,winter
stripedsweater3.jpeg,top,striped,long,loose,winter
stripedsweater4.jpeg,top,striped,long,loose,winter
stripedsweater5.jpeg,top,striped,long,loose,winter
stripedsweater6.jpeg,top,striped,long,loose,winter
stripedsweater7.jpeg,top,striped,long,loose,winter
stripedsweater8.jpeg,top,striped,long,loose,winter
stripedsweater9.jpeg,top,striped,long,loose,winter
stripedsweater10.jpeg,top,striped,long,loose,winter
stripedsweater11.jpeg,top,striped,long,loose,winter
stripeleggings.jpeg,pants,striped,sleeveless,fitted,transitional
stripeleggings2.jpeg,pants,striped,sleeveless,fitted,transitional
stripeleggings3.jpeg,pants,striped,sleeveless,fitted,transitional
stripeleggings4.jpeg,pants,striped,sleeveless,fitted,transitional
stripeleggings5.jpeg,pants,striped,sleeveless,fitted,transitional
wincoat.jpeg,jacket,solid,long,loose,winter
wincoat2.jpeg,jacket,solid,long,loose,winter
wincoat3.jpeg,jacket,solid,long,flared,winter
wincoat4.jpeg,jacket,solid,long,flared,winter
wincoat5.jpeg,jacket,solid,long,flared,winter
wincoat6.jpeg,jacket,solid,long,flared,winter
wincoat7.jpeg,jacket,solid,long,flared,winter
wincoat8.jpeg,jacket,solid,long,flared,winter
books.jpeg,other,none,sleeveless,none,none
books2.jpeg,other,none,sleeveless,none,none
books3.jpeg,other,none,sleeveless,none,none
books4.jpeg,other,none,sleeveless,none,none
books5.jpeg,other,none,sleeveless,none,none
botle.jpeg,other,none,sleeveless,none,none
bottle2.jpeg,other,none,sleeveless,none,none
bottle3.jpeg,other,none,sleeveless,none,none
bottle4.jpeg,other,none,sleeveless,none,none
chair.jpeg,other,none,sleeveless,none,none
chair2.jpeg,other,none,sleeveless,none,none
chair3.jpeg,other,none,sleeveless,none,none
chair4.jpeg,other,none,sleeveless,none,none
chair5.jpeg,other,none,sleeveless,none,none
cutlery.jpeg,other,none,sleeveless,none,none
cutlery2.jpeg,other,none,sleeveless,none,none
cutlery3.jpeg,other,none,sleeveless,none,none
cutlery4.jpeg,other,none,sleeveless,none,none
cutlery5.jpeg,other,none,sleeveless,none,none
cutlery6.jpeg,other,none,sleeveless,none,none
glasses.jpeg,other,none,sleeveless,none,none
glasses2.jpeg,other,none,sleeveless,none,none
glasses3.jpeg,other,none,sleeveless,none,none
glasses4.jpeg,other,none,sleeveless,none,none
glasses5.jpeg,other,none,sleeveless,none,none
glasses6.jpeg,other,none,sleeveless,none,none
glasses7.jpeg,other,none,sleeveless,none,none
glasses8.jpeg,other,none,sleeveless,none,none
glasses9.jpeg,other,none,sleeveless,none,none
glasses10.jpeg,other,none,sleeveless,none,none
jewelry.jpeg,other,none,sleeveless,none,none
jewelry2.jpeg,other,none,sleeveless,none,none
jewelry3.jpeg,other,none,sleeveless,none,none
jewelry4.jpeg,other,none,sleeveless,none,none
jewelry5.jpeg,other,none,sleeveless,none,none
table.jpeg,other,none,sleeveless,none,none
table2.jpeg,other,none,sleeveless,none,none
table3.jpeg,other,none,sleeveless,none,none
table4.jpeg,other,none,sleeveless,none,none
table5.jpeg,other,none,sleeveless,none,none
umbrella.jpeg,other,none,sleeveless,none,none
umbrella2.jpeg,other,none,sleeveless,none,none
umbrella3.jpeg,other,none,sleeveless,none,none
umbrella4.jpeg,other,none,sleeveless,none,none
umbrella5.jpeg,other,none,sleeveless,none,none
watch.jpeg,other,none,sleeveless,none,none
watch2.jpeg,other,none,sleeveless,none,none
watch3.jpeg,other,none,sleeveless,none,none
watch4.jpeg,other,none,sleeveless,none,none
watch5.jpeg,other,none,sleeveless,none,none